,image_0,image_1,caption_0,caption_1
0,ex_0_img_0,ex_0_img_1,an old person kisses a young person,a young person kisses an old person
1,ex_1_img_0,ex_1_img_1,the taller person hugs the shorter person,the shorter person hugs the taller person
2,ex_2_img_0,ex_2_img_1,the masked wrestler hits the unmasked wrestler,the unmasked wrestler hits the masked wrestler
3,ex_3_img_0,ex_3_img_1,a person watches an animal,an animal watches a person
4,ex_4_img_0,ex_4_img_1,the person without earrings pays the person with earrings,the person with earrings pays the person without earrings
5,ex_5_img_0,ex_5_img_1,a bird eats a snake,a snake eats a bird
6,ex_6_img_0,ex_6_img_1,"a plant was harmed by another organism, and that organism broke the plant into pieces","another organism was harmed by a plant, and that plant broke the organism into pieces"
7,ex_7_img_0,ex_7_img_1,a bottle is in water,water is in a bottle
8,ex_8_img_0,ex_8_img_1,a tree smashed into a car,a car smashed into a tree
9,ex_9_img_0,ex_9_img_1,people fall on the leaves,the leaves fall on people
10,ex_10_img_0,ex_10_img_1,the sail rests below the water,the water rests below the sail
11,ex_11_img_0,ex_11_img_1,there is a table below someone,there is someone below a table
12,ex_12_img_0,ex_12_img_1,the image shows a computer on top of books,the image shows books on top of a computer
13,ex_13_img_0,ex_13_img_1,a caterpillar with some plants,a plant with some caterpillars
14,ex_14_img_0,ex_14_img_1,there is a mug in some grass,there is some grass in a mug
15,ex_15_img_0,ex_15_img_1,there are more skiers than snowboarders,there are more snowboarders than skiers
16,ex_16_img_0,ex_16_img_1,there are fewer forks than spoons,there are fewer spoons than forks
17,ex_17_img_0,ex_17_img_1,there are more ladybugs than flowers,there are more flowers than ladybugs
18,ex_18_img_0,ex_18_img_1,there is less orange juice than milk,there is less milk than orange juice
19,ex_19_img_0,ex_19_img_1,there is more dirt than empty space in the jar,there is more empty space than dirt in the jar
20,ex_20_img_0,ex_20_img_1,there is a bit less milk chocolate than white chocolate,there is a bit less white chocolate than milk chocolate
21,ex_21_img_0,ex_21_img_1,a person sits and a dog stands,a person stands and a dog sits
22,ex_22_img_0,ex_22_img_1,The person with more facial hair lies awake while the other sleeps,The person with more facial hair sleeps while the other lies awake
23,ex_23_img_0,ex_23_img_1,the person in the middle is floating and some others are standing,the person in the middle is standing and some others are floating
24,ex_24_img_0,ex_24_img_1,the person closer to the camera weightlifts and the person farther from the camera runs,the person closer to the camera runs and the person farther from the camera weightlifts
25,ex_25_img_0,ex_25_img_1,the person with the white collared shirt waters the plant while the other holds it,the person with the white collared shirt holds the plant while the other waters it
26,ex_26_img_0,ex_26_img_1,the taller person chops food and the shorter person eats food,the taller person eats food and the shorter person chops food
27,ex_27_img_0,ex_27_img_1,the person with the ponytail packs stuff and other buys it,the person with the ponytail buys stuff and other packs it
28,ex_28_img_0,ex_28_img_1,a person walking in a field of yellow flowers with a red dress,a person walking in a field of red flowers with a yellow dress
29,ex_29_img_0,ex_29_img_1,a brown dog is on a white couch,a white dog is on a brown couch
30,ex_30_img_0,ex_30_img_1,a blue bird is next to a red berry,a red bird is next to a blue berry
31,ex_31_img_0,ex_31_img_1,The red book is above the yellow book and below the blue book,The yellow book is above the blue book and below the red book
32,ex_32_img_0,ex_32_img_1,astronauts in blue suits with a red planet in the background,astronauts in red suits with a blue planet in the background
