img-cap(0,0): 0.14158, img-cap(0,1): 0.15816, img-cap(1,0): 0.80836, img-cap(1,1): 0.79376
img-cap(0,0): 0.74979, img-cap(0,1): 0.72525, img-cap(1,0): 0.82431, img-cap(1,1): 0.78402
img-cap(0,0): 0.11672, img-cap(0,1): 0.5682, img-cap(1,0): 0.050198, img-cap(1,1): 0.16708
img-cap(0,0): 0.00027436, img-cap(0,1): 0.0017569, img-cap(1,0): 0.0013793, img-cap(1,1): 0.017867
img-cap(0,0): 0.018836, img-cap(0,1): 0.020979, img-cap(1,0): 0.80823, img-cap(1,1): 0.83031
img-cap(0,0): 0.15523, img-cap(0,1): 0.13174, img-cap(1,0): 0.52124, img-cap(1,1): 0.82465
img-cap(0,0): 0.5453, img-cap(0,1): 0.24567, img-cap(1,0): 0.045445, img-cap(1,1): 0.048169
img-cap(0,0): 0.10478, img-cap(0,1): 0.21859, img-cap(1,0): 0.0074572, img-cap(1,1): 0.0080532
img-cap(0,0): 0.96619, img-cap(0,1): 0.42921, img-cap(1,0): 0.86181, img-cap(1,1): 0.16474
img-cap(0,0): 0.13797, img-cap(0,1): 0.096438, img-cap(1,0): 0.011534, img-cap(1,1): 0.028953
img-cap(0,0): 0.23988, img-cap(0,1): 0.17664, img-cap(1,0): 0.30349, img-cap(1,1): 0.1816
img-cap(0,0): 0.050605, img-cap(0,1): 0.074645, img-cap(1,0): 0.35992, img-cap(1,1): 0.077664
img-cap(0,0): 0.0029414, img-cap(0,1): 0.0021782, img-cap(1,0): 0.050092, img-cap(1,1): 0.029114
img-cap(0,0): 0.15009, img-cap(0,1): 0.21811, img-cap(1,0): 0.20421, img-cap(1,1): 0.14852
img-cap(0,0): 0.96018, img-cap(0,1): 0.98733, img-cap(1,0): 0.55559, img-cap(1,1): 0.99884
img-cap(0,0): 0.0028726, img-cap(0,1): 0.0022988, img-cap(1,0): 0.00062553, img-cap(1,1): 0.00055602
img-cap(0,0): 0.043222, img-cap(0,1): 0.045278, img-cap(1,0): 0.014296, img-cap(1,1): 0.010313
img-cap(0,0): 0.0013637, img-cap(0,1): 0.0014882, img-cap(1,0): 0.56497, img-cap(1,1): 0.20704
img-cap(0,0): 0.8113, img-cap(0,1): 0.82432, img-cap(1,0): 0.029132, img-cap(1,1): 0.012978
img-cap(0,0): 0.93943, img-cap(0,1): 0.95689, img-cap(1,0): 0.90855, img-cap(1,1): 0.95207
img-cap(0,0): 0.032423, img-cap(0,1): 0.034738, img-cap(1,0): 0.019079, img-cap(1,1): 0.021214
img-cap(0,0): 0.57249, img-cap(0,1): 0.78709, img-cap(1,0): 0.064611, img-cap(1,1): 0.29862
img-cap(0,0): 0.26023, img-cap(0,1): 0.19402, img-cap(1,0): 0.95455, img-cap(1,1): 0.98874
img-cap(0,0): 0.15687, img-cap(0,1): 0.24525, img-cap(1,0): 0.16589, img-cap(1,1): 0.13637
img-cap(0,0): 0.00094025, img-cap(0,1): 0.0022113, img-cap(1,0): 0.0055289, img-cap(1,1): 0.019993
img-cap(0,0): 0.98771, img-cap(0,1): 0.98653, img-cap(1,0): 0.36158, img-cap(1,1): 0.14832
img-cap(0,0): 0.0039927, img-cap(0,1): 0.0024715, img-cap(1,0): 0.0153, img-cap(1,1): 0.014487
img-cap(0,0): 0.022666, img-cap(0,1): 0.013876, img-cap(1,0): 0.086189, img-cap(1,1): 0.065671
img-cap(0,0): 8.2469e-05, img-cap(0,1): 8.5377e-05, img-cap(1,0): 0.016818, img-cap(1,1): 0.0145
img-cap(0,0): 0.99217, img-cap(0,1): 0.062387, img-cap(1,0): 0.025794, img-cap(1,1): 0.0031145
img-cap(0,0): 0.78192, img-cap(0,1): 0.79448, img-cap(1,0): 0.11009, img-cap(1,1): 0.21657
img-cap(0,0): 0.00075521, img-cap(0,1): 0.00085937, img-cap(1,0): 0.054974, img-cap(1,1): 0.053556
img-cap(0,0): 0.018176, img-cap(0,1): 0.014701, img-cap(1,0): 0.019836, img-cap(1,1): 0.018028
img-cap(0,0): 0.64729, img-cap(0,1): 0.69213, img-cap(1,0): 0.9635, img-cap(1,1): 0.97943
img-cap(0,0): 0.87635, img-cap(0,1): 0.94923, img-cap(1,0): 0.042695, img-cap(1,1): 0.060771
img-cap(0,0): 0.51272, img-cap(0,1): 0.42542, img-cap(1,0): 0.14821, img-cap(1,1): 0.15121
img-cap(0,0): 0.11839, img-cap(0,1): 0.10454, img-cap(1,0): 0.10317, img-cap(1,1): 0.089175
img-cap(0,0): 0.0036996, img-cap(0,1): 0.0050704, img-cap(1,0): 0.99605, img-cap(1,1): 0.99798
img-cap(0,0): 0.21581, img-cap(0,1): 0.25665, img-cap(1,0): 0.56235, img-cap(1,1): 0.68186
img-cap(0,0): 0.25916, img-cap(0,1): 0.26238, img-cap(1,0): 0.42779, img-cap(1,1): 0.3001
img-cap(0,0): 0.46161, img-cap(0,1): 0.44148, img-cap(1,0): 0.41969, img-cap(1,1): 0.42798
img-cap(0,0): 0.0068578, img-cap(0,1): 0.0065567, img-cap(1,0): 0.022395, img-cap(1,1): 0.021821
img-cap(0,0): 0.0062167, img-cap(0,1): 0.0077611, img-cap(1,0): 0.016865, img-cap(1,1): 0.018544
img-cap(0,0): 0.98996, img-cap(0,1): 0.9387, img-cap(1,0): 0.050151, img-cap(1,1): 0.204
img-cap(0,0): 0.17099, img-cap(0,1): 0.18331, img-cap(1,0): 0.6144, img-cap(1,1): 0.48712
img-cap(0,0): 0.58022, img-cap(0,1): 0.54771, img-cap(1,0): 0.019763, img-cap(1,1): 0.017623
img-cap(0,0): 0.044068, img-cap(0,1): 0.029902, img-cap(1,0): 0.062425, img-cap(1,1): 0.045985
img-cap(0,0): 0.043934, img-cap(0,1): 0.10828, img-cap(1,0): 0.30096, img-cap(1,1): 0.61754
img-cap(0,0): 0.011345, img-cap(0,1): 0.0095382, img-cap(1,0): 0.11321, img-cap(1,1): 0.040394
img-cap(0,0): 0.061452, img-cap(0,1): 0.032611, img-cap(1,0): 0.1054, img-cap(1,1): 0.20692
img-cap(0,0): 0.0069863, img-cap(0,1): 0.0055644, img-cap(1,0): 0.0097681, img-cap(1,1): 0.0078621
img-cap(0,0): 0.0010219, img-cap(0,1): 0.00045643, img-cap(1,0): 0.81713, img-cap(1,1): 0.73093
img-cap(0,0): 0.053461, img-cap(0,1): 0.031323, img-cap(1,0): 0.0083968, img-cap(1,1): 0.0040411
img-cap(0,0): 0.52943, img-cap(0,1): 0.4634, img-cap(1,0): 0.89573, img-cap(1,1): 0.90983
img-cap(0,0): 0.98533, img-cap(0,1): 0.6391, img-cap(1,0): 0.065428, img-cap(1,1): 0.051331
img-cap(0,0): 0.023526, img-cap(0,1): 0.020538, img-cap(1,0): 0.040976, img-cap(1,1): 0.031982
img-cap(0,0): 0.03244, img-cap(0,1): 0.023556, img-cap(1,0): 0.010523, img-cap(1,1): 0.0073562
img-cap(0,0): 0.00016219, img-cap(0,1): 0.00032808, img-cap(1,0): 7.1926e-05, img-cap(1,1): 7.8622e-05
img-cap(0,0): 0.0073194, img-cap(0,1): 0.0090054, img-cap(1,0): 0.022916, img-cap(1,1): 0.014973
img-cap(0,0): 0.99304, img-cap(0,1): 0.99529, img-cap(1,0): 0.88542, img-cap(1,1): 0.90602
img-cap(0,0): 0.073778, img-cap(0,1): 0.0767, img-cap(1,0): 0.00067534, img-cap(1,1): 0.00078485
img-cap(0,0): 0.0070974, img-cap(0,1): 0.011714, img-cap(1,0): 0.055001, img-cap(1,1): 0.082795
img-cap(0,0): 0.0097614, img-cap(0,1): 0.0093847, img-cap(1,0): 0.97013, img-cap(1,1): 0.96588
img-cap(0,0): 0.0063725, img-cap(0,1): 0.005489, img-cap(1,0): 0.12734, img-cap(1,1): 0.064037
img-cap(0,0): 0.62245, img-cap(0,1): 0.55301, img-cap(1,0): 0.2526, img-cap(1,1): 0.035875
img-cap(0,0): 0.24142, img-cap(0,1): 0.51327, img-cap(1,0): 0.83081, img-cap(1,1): 0.92636
img-cap(0,0): 0.26889, img-cap(0,1): 0.33366, img-cap(1,0): 0.80783, img-cap(1,1): 0.8527
img-cap(0,0): 0.90526, img-cap(0,1): 0.90394, img-cap(1,0): 0.7619, img-cap(1,1): 0.75457
img-cap(0,0): 0.2302, img-cap(0,1): 0.1671, img-cap(1,0): 0.35548, img-cap(1,1): 0.26445
img-cap(0,0): 0.028774, img-cap(0,1): 0.05735, img-cap(1,0): 0.28413, img-cap(1,1): 0.16396
img-cap(0,0): 0.024534, img-cap(0,1): 0.034202, img-cap(1,0): 0.03508, img-cap(1,1): 0.037788
img-cap(0,0): 0.066731, img-cap(0,1): 0.059907, img-cap(1,0): 0.048621, img-cap(1,1): 0.031869
img-cap(0,0): 0.55632, img-cap(0,1): 0.85155, img-cap(1,0): 0.011578, img-cap(1,1): 0.050674
img-cap(0,0): 0.15203, img-cap(0,1): 0.059439, img-cap(1,0): 0.13169, img-cap(1,1): 0.055732
img-cap(0,0): 0.89593, img-cap(0,1): 0.23894, img-cap(1,0): 0.0038229, img-cap(1,1): 0.076539
img-cap(0,0): 0.60696, img-cap(0,1): 0.084408, img-cap(1,0): 0.006029, img-cap(1,1): 0.0058253
img-cap(0,0): 0.30105, img-cap(0,1): 0.19761, img-cap(1,0): 0.95706, img-cap(1,1): 0.9495
img-cap(0,0): 0.13244, img-cap(0,1): 0.094953, img-cap(1,0): 0.029493, img-cap(1,1): 0.018364
img-cap(0,0): 0.00017939, img-cap(0,1): 0.0002854, img-cap(1,0): 0.00078998, img-cap(1,1): 0.001621
img-cap(0,0): 0.0030368, img-cap(0,1): 0.0038343, img-cap(1,0): 0.040798, img-cap(1,1): 0.074578
img-cap(0,0): 0.35006, img-cap(0,1): 0.32886, img-cap(1,0): 0.76881, img-cap(1,1): 0.64535
img-cap(0,0): 0.042909, img-cap(0,1): 0.03035, img-cap(1,0): 0.0045462, img-cap(1,1): 0.019588
img-cap(0,0): 0.84841, img-cap(0,1): 0.80633, img-cap(1,0): 0.69336, img-cap(1,1): 0.63342
img-cap(0,0): 0.45559, img-cap(0,1): 0.45428, img-cap(1,0): 0.38565, img-cap(1,1): 0.39164
img-cap(0,0): 0.15302, img-cap(0,1): 0.16536, img-cap(1,0): 0.00099344, img-cap(1,1): 0.0006553
img-cap(0,0): 0.75468, img-cap(0,1): 0.61901, img-cap(1,0): 0.4331, img-cap(1,1): 0.17856
